Ego,Alter,visit1,visithh1
35,147,1,2
35,24,1,2
352,353,1,2
353,297,1,2
354,353,1,2
355,357,1,2
357,355,1,2
359,289,1,2
36,56,1,2
364,147,1,2
38,24,1,2
39,179,1,2
40,147,1,2
40,41,1,2
41,312,1,2
45,46,1,2
46,341,1,2
48,313,1,2
48,37,1,2
5,365,1,2
5,49,1,2
5,93,1,2
50,65,1,2
52,331,1,2
53,119,1,2
55,114,1,2
55,281,1,2
55,282,1,2
55,53,1,2
55,8,1,2
58,281,1,2
58,288,1,2
60,244,1,2
60,3,1,2
61,140,1,2
62,347,1,2
62,348,1,2
63,126,1,2
63,128,1,2
63,91,1,2
65,163,1,2
66,137,1,2
66,295,1,2
68,163,1,2
68,30,1,2
68,31,1,2
69,141,1,2
70,138,1,2
71,234,1,2
71,64,1,2
72,15,1,2
72,200,1,2
72,252,1,2
74,248,1,2
75,294,1,2
76,122,1,2
76,302,1,2
78,50,1,2
78,80,1,2
79,288,1,2
80,78,1,2
81,25,1,2
82,49,1,2
83,188,1,2
83,211,1,2
84,14,1,2
84,15,1,2
85,14,1,2
85,15,1,2
86,193,1,2
87,316,1,2
9,151,1,2
90,48,1,2
91,56,1,2
92,93,1,2
94,357,1,2
95,307,1,2
96,307,1,2
96,95,1,2
98,74,1,2
99,285,1,2
10,229,NA,1
10,254,NA,1
10,255,NA,1
101,126,NA,1
101,207,NA,1
101,98,NA,1
102,82,NA,1
103,49,NA,1
104,133,NA,1
105,11,NA,1
105,120,NA,1
105,206,NA,1
107,38,NA,1
108,145,NA,1
109,341,NA,1
11,105,NA,1
11,120,NA,1
11,206,NA,1
110,348,NA,1
111,166,NA,1
112,291,NA,1
113,185,NA,1
114,15,NA,1
115,167,NA,1
115,340,NA,1
116,148,NA,1
117,99,NA,1
118,30,NA,1
118,323,NA,1
118,325,NA,1
119,362,NA,1
12,121,NA,1
12,128,NA,1
12,246,NA,1
12,76,NA,1
120,105,NA,1
120,11,NA,1
120,206,NA,1
121,12,NA,1
121,128,NA,1
121,246,NA,1
121,76,NA,1
122,224,NA,1
122,314,NA,1
122,318,NA,1
124,259,NA,1
124,67,NA,1
126,101,NA,1
126,207,NA,1
126,98,NA,1
127,63,NA,1
128,12,NA,1
128,121,NA,1
128,246,NA,1
128,76,NA,1
129,142,NA,1
129,194,NA,1
129,264,NA,1
13,244,NA,1
130,292,NA,1
130,75,NA,1
131,225,NA,1
131,357,NA,1
131,86,NA,1
132,233,NA,1
133,104,NA,1
134,279,NA,1
135,137,NA,1
135,147,NA,1
135,195,NA,1
135,308,NA,1
136,196,NA,1
137,135,NA,1
137,147,NA,1
137,195,NA,1
137,308,NA,1
138,258,NA,1
139,88,NA,1
14,266,NA,1
14,72,NA,1
140,213,NA,1
140,358,NA,1
141,247,NA,1
142,129,NA,1
142,194,NA,1
142,264,NA,1
143,260,NA,1
144,46,NA,1
145,108,NA,1
146,162,NA,1
147,135,NA,1
147,137,NA,1
147,195,NA,1
147,308,NA,1
148,116,NA,1
149,301,NA,1
15,114,NA,1
150,24,NA,1
151,240,NA,1
151,276,NA,1
152,23,NA,1
152,25,NA,1
152,26,NA,1
152,267,NA,1
152,87,NA,1
153,245,NA,1
153,60,NA,1
154,183,NA,1
156,307,NA,1
157,191,NA,1
157,192,NA,1
157,312,NA,1
157,356,NA,1
158,272,NA,1
158,273,NA,1
158,281,NA,1
159,243,NA,1
16,200,NA,1
16,204,NA,1
160,235,NA,1
160,298,NA,1
160,80,NA,1
161,29,NA,1
161,81,NA,1
162,146,NA,1
163,50,NA,1
163,64,NA,1
164,262,NA,1
164,333,NA,1
164,337,NA,1
165,294,NA,1
166,111,NA,1
167,115,NA,1
167,340,NA,1
168,169,NA,1
168,174,NA,1
168,221,NA,1
169,168,NA,1
169,174,NA,1
169,221,NA,1
17,223,NA,1
17,277,NA,1
170,43,NA,1
171,248,NA,1
172,203,NA,1
173,284,NA,1
173,290,NA,1
173,319,NA,1
174,168,NA,1
174,169,NA,1
174,221,NA,1
175,7,NA,1
177,31,NA,1
178,27,NA,1
178,32,NA,1
178,326,NA,1
179,315,NA,1
180,250,NA,1
181,268,NA,1
181,336,NA,1
182,297,NA,1
182,352,NA,1
182,354,NA,1
183,154,NA,1
184,95,NA,1
185,113,NA,1
186,85,NA,1
187,208,NA,1
188,214,NA,1
189,311,NA,1
189,350,NA,1
19,51,NA,1
19,9,NA,1
190,56,NA,1
191,157,NA,1
191,192,NA,1
191,312,NA,1
191,356,NA,1
192,157,NA,1
192,191,NA,1
192,312,NA,1
192,356,NA,1
193,197,NA,1
193,355,NA,1
193,94,NA,1
194,142,NA,1
194,264,NA,1
195,135,NA,1
195,137,NA,1
195,147,NA,1
195,308,NA,1
196,136,NA,1
197,193,NA,1
197,355,NA,1
197,94,NA,1
198,322,NA,1
199,256,NA,1
2,54,NA,1
20,44,NA,1
20,45,NA,1
20,47,NA,1
200,16,NA,1
200,204,NA,1
201,317,NA,1
202,77,NA,1
203,172,NA,1
204,16,NA,1
204,200,NA,1
205,330,NA,1
206,105,NA,1
206,11,NA,1
206,120,NA,1
207,101,NA,1
207,126,NA,1
207,98,NA,1
208,187,NA,1
209,302,NA,1
21,57,NA,1
21,6,NA,1
210,62,NA,1
211,342,NA,1
211,344,NA,1
212,270,NA,1
213,140,NA,1
213,358,NA,1
214,188,NA,1
215,97,NA,1
216,220,NA,1
216,92,NA,1
218,351,NA,1
218,363,NA,1
219,228,NA,1
219,287,NA,1
219,364,NA,1
22,288,NA,1
220,216,NA,1
220,92,NA,1
221,168,NA,1
221,169,NA,1
221,174,NA,1
223,17,NA,1
223,277,NA,1
224,122,NA,1
224,314,NA,1
224,318,NA,1
225,131,NA,1
225,357,NA,1
225,86,NA,1
226,84,NA,1
227,42,NA,1
228,219,NA,1
228,287,NA,1
228,364,NA,1
229,10,NA,1
229,254,NA,1
229,255,NA,1
23,152,NA,1
23,25,NA,1
23,26,NA,1
23,267,NA,1
23,87,NA,1
230,285,NA,1
231,237,NA,1
232,332,NA,1
233,132,NA,1
235,160,NA,1
235,298,NA,1
235,80,NA,1
236,252,NA,1
237,231,NA,1
238,346,NA,1
239,343,NA,1
239,349,NA,1
239,73,NA,1
24,150,NA,1
240,151,NA,1
240,276,NA,1
241,320,NA,1
242,257,NA,1
242,34,NA,1
242,61,NA,1
243,159,NA,1
244,13,NA,1
245,153,NA,1
245,60,NA,1
246,12,NA,1
246,121,NA,1
246,128,NA,1
246,76,NA,1
247,141,NA,1
248,171,NA,1
249,295,NA,1
25,152,NA,1
25,23,NA,1
25,26,NA,1
25,267,NA,1
25,87,NA,1
250,180,NA,1
251,327,NA,1
251,328,NA,1
251,329,NA,1
252,236,NA,1
253,74,NA,1
254,10,NA,1
254,229,NA,1
254,255,NA,1
255,10,NA,1
255,229,NA,1
255,254,NA,1
256,199,NA,1
257,242,NA,1
257,34,NA,1
257,61,NA,1
258,138,NA,1
259,124,NA,1
259,67,NA,1
26,152,NA,1
26,23,NA,1
26,25,NA,1
26,267,NA,1
26,87,NA,1
260,143,NA,1
261,305,NA,1
262,164,NA,1
262,333,NA,1
262,337,NA,1
263,28,NA,1
264,129,NA,1
264,142,NA,1
264,194,NA,1
265,79,NA,1
266,14,NA,1
266,72,NA,1
267,152,NA,1
267,23,NA,1
267,25,NA,1
267,26,NA,1
267,87,NA,1
268,181,NA,1
268,336,NA,1
269,275,NA,1
269,289,NA,1
269,93,NA,1
27,178,NA,1
27,32,NA,1
27,326,NA,1
270,212,NA,1
271,5,NA,1
272,158,NA,1
272,273,NA,1
272,281,NA,1
273,158,NA,1
273,272,NA,1
273,281,NA,1
274,347,NA,1
275,269,NA,1
275,289,NA,1
275,93,NA,1
276,151,NA,1
276,240,NA,1
277,17,NA,1
277,223,NA,1
279,134,NA,1
28,263,NA,1
280,303,NA,1
280,55,NA,1
281,158,NA,1
281,272,NA,1
281,273,NA,1
282,293,NA,1
282,35,NA,1
282,41,NA,1
283,331,NA,1
284,173,NA,1
284,290,NA,1
284,319,NA,1
285,230,NA,1
286,48,NA,1
287,219,NA,1
287,228,NA,1
287,364,NA,1
288,22,NA,1
289,269,NA,1
289,275,NA,1
289,93,NA,1
29,161,NA,1
29,81,NA,1
290,173,NA,1
290,284,NA,1
290,319,NA,1
291,112,NA,1
292,130,NA,1
292,75,NA,1
293,282,NA,1
293,35,NA,1
293,41,NA,1
294,165,NA,1
295,249,NA,1
296,58,NA,1
297,182,NA,1
297,352,NA,1
297,354,NA,1
298,160,NA,1
298,235,NA,1
298,80,NA,1
299,59,NA,1
30,118,NA,1
30,323,NA,1
30,325,NA,1
300,65,NA,1
301,149,NA,1
302,209,NA,1
303,280,NA,1
303,55,NA,1
304,321,NA,1
305,261,NA,1
306,96,NA,1
307,156,NA,1
308,135,NA,1
308,137,NA,1
308,147,NA,1
308,195,NA,1
309,71,NA,1
309,78,NA,1
31,177,NA,1
311,189,NA,1
311,350,NA,1
312,157,NA,1
312,191,NA,1
312,192,NA,1
312,356,NA,1
313,37,NA,1
314,122,NA,1
314,224,NA,1
314,318,NA,1
315,179,NA,1
316,33,NA,1
317,201,NA,1
318,122,NA,1
318,224,NA,1
318,314,NA,1
319,173,NA,1
319,284,NA,1
319,290,NA,1
32,178,NA,1
32,27,NA,1
32,326,NA,1
320,241,NA,1
321,304,NA,1
322,198,NA,1
323,118,NA,1
323,30,NA,1
323,325,NA,1
324,68,NA,1
325,118,NA,1
325,30,NA,1
325,323,NA,1
326,178,NA,1
326,27,NA,1
326,32,NA,1
327,251,NA,1
327,328,NA,1
327,329,NA,1
328,251,NA,1
328,327,NA,1
328,329,NA,1
329,251,NA,1
329,327,NA,1
329,328,NA,1
33,316,NA,1
330,205,NA,1
331,283,NA,1
332,232,NA,1
333,164,NA,1
333,262,NA,1
333,337,NA,1
334,339,NA,1
335,90,NA,1
336,181,NA,1
336,268,NA,1
337,164,NA,1
337,262,NA,1
337,333,NA,1
338,361,NA,1
339,334,NA,1
34,242,NA,1
34,257,NA,1
34,61,NA,1
340,115,NA,1
340,167,NA,1
341,109,NA,1
342,211,NA,1
342,344,NA,1
343,239,NA,1
343,349,NA,1
343,73,NA,1
344,211,NA,1
344,342,NA,1
345,83,NA,1
346,238,NA,1
347,274,NA,1
348,110,NA,1
349,239,NA,1
349,343,NA,1
349,73,NA,1
35,282,NA,1
35,293,NA,1
35,41,NA,1
350,189,NA,1
350,311,NA,1
351,218,NA,1
351,363,NA,1
352,182,NA,1
352,297,NA,1
352,354,NA,1
354,182,NA,1
354,297,NA,1
354,352,NA,1
355,193,NA,1
355,197,NA,1
355,94,NA,1
356,157,NA,1
356,191,NA,1
356,192,NA,1
356,312,NA,1
357,131,NA,1
357,225,NA,1
357,86,NA,1
358,140,NA,1
358,213,NA,1
36,91,NA,1
360,70,NA,1
361,338,NA,1
362,119,NA,1
363,218,NA,1
363,351,NA,1
364,219,NA,1
364,228,NA,1
364,287,NA,1
365,39,NA,1
37,313,NA,1
38,107,NA,1
39,365,NA,1
40,66,NA,1
41,282,NA,1
41,293,NA,1
41,35,NA,1
42,227,NA,1
43,170,NA,1
44,20,NA,1
44,45,NA,1
44,47,NA,1
45,20,NA,1
45,44,NA,1
45,47,NA,1
46,144,NA,1
47,20,NA,1
47,44,NA,1
47,45,NA,1
48,286,NA,1
49,103,NA,1
5,271,NA,1
50,163,NA,1
50,64,NA,1
51,19,NA,1
51,9,NA,1
53,89,NA,1
54,2,NA,1
55,280,NA,1
55,303,NA,1
56,190,NA,1
57,21,NA,1
57,6,NA,1
58,296,NA,1
59,299,NA,1
6,21,NA,1
6,57,NA,1
60,153,NA,1
60,245,NA,1
61,242,NA,1
61,257,NA,1
61,34,NA,1
62,210,NA,1
63,127,NA,1
64,163,NA,1
64,50,NA,1
65,300,NA,1
66,40,NA,1
67,124,NA,1
67,259,NA,1
68,324,NA,1
7,175,NA,1
70,360,NA,1
71,309,NA,1
71,78,NA,1
72,14,NA,1
72,266,NA,1
73,239,NA,1
73,343,NA,1
73,349,NA,1
74,253,NA,1
75,130,NA,1
75,292,NA,1
76,12,NA,1
76,121,NA,1
76,128,NA,1
76,246,NA,1
77,202,NA,1
78,309,NA,1
78,71,NA,1
79,265,NA,1
80,160,NA,1
80,235,NA,1
80,298,NA,1
81,161,NA,1
81,29,NA,1
82,102,NA,1
83,345,NA,1
84,226,NA,1
85,186,NA,1
86,131,NA,1
86,225,NA,1
86,357,NA,1
87,152,NA,1
87,23,NA,1
87,25,NA,1
87,26,NA,1
87,267,NA,1
88,139,NA,1
89,53,NA,1
9,19,NA,1
9,51,NA,1
90,335,NA,1
91,36,NA,1
92,216,NA,1
92,220,NA,1
93,269,NA,1
93,275,NA,1
93,289,NA,1
94,193,NA,1
94,197,NA,1
94,355,NA,1
95,184,NA,1
96,306,NA,1
97,215,NA,1
98,101,NA,1
98,126,NA,1
98,207,NA,1
99,117,NA,1
25,29,1,2
67,263,1,2
