,Effort,Strategy,Threshold,Listening_prob,AUCResult,AUCLow,AUCUpp,type,intervention cost,datacost,totalcost,costbenefit,mincost,maxcost
393,30,KP Eigenvector,1,0.6,91.45068493,91.17808219,91.69863014,Network,502,5160,5662,0.016151658,0.016103512,0.016195449
394,30,KP Eigenvector,1,0.8,91.74041096,91.57534247,91.8630137,Network,502,5160,5662,0.016202828,0.016173674,0.016224481
395,30,KP Eigenvector,1,1,91.95890411,91.95890411,91.95890411,Network,502,5160,5662,0.016241417,0.016241417,0.016241417
396,30,KP Eigenvector,3,0.2,26.13150685,23.53424658,28.94520548,Network,502,5160,5662,0.004615243,0.004156525,0.005112187
397,30,KP Eigenvector,3,0.4,33.42534247,31.32876712,35.16438356,Network,502,5160,5662,0.005903452,0.005533163,0.006210594
398,30,KP Eigenvector,3,0.6,36.51917808,35.39726027,37.5890411,Network,502,5160,5662,0.006449872,0.006251724,0.006638827
399,30,KP Eigenvector,3,0.8,37.5869863,36.75342466,37.91780822,Network,502,5160,5662,0.006638465,0.006491244,0.006696893
400,30,KP Eigenvector,3,1,38.12328767,38.12328767,38.12328767,Network,502,5160,5662,0.006733184,0.006733184,0.006733184
1,2,KP In-degree,1,0.2,63.5390411,56.56164384,68.63013699,Network,52,5160,5212,0.012190913,0.010852196,0.013167716
2,2,KP In-degree,1,0.4,77.7609589,76.57534247,78.94520548,Network,52,5160,5212,0.014919601,0.014692123,0.015146816
3,2,KP In-degree,1,0.6,80.99589041,80.16438356,81.60273973,Network,52,5160,5212,0.015540271,0.015380734,0.015656704
4,2,KP In-degree,1,0.8,81.63219178,80.82191781,82.04109589,Network,52,5160,5212,0.015662355,0.015506891,0.015740809
5,2,KP In-degree,1,1,82.32876712,82.32876712,82.32876712,Network,52,5160,5212,0.015796003,0.015796003,0.015796003
6,2,KP In-degree,3,0.2,0.547945205,0.547945205,0.547945205,Network,52,5160,5212,0.000105131,0.000105131,0.000105131
7,2,KP In-degree,3,0.4,0.547945205,0.547945205,0.547945205,Network,52,5160,5212,0.000105131,0.000105131,0.000105131
8,2,KP In-degree,3,0.6,0.547945205,0.547945205,0.547945205,Network,52,5160,5212,0.000105131,0.000105131,0.000105131
9,2,KP In-degree,3,0.8,0.547945205,0.547945205,0.547945205,Network,52,5160,5212,0.000105131,0.000105131,0.000105131
10,2,KP In-degree,3,1,0.547945205,0.547945205,0.547945205,Network,52,5160,5212,0.000105131,0.000105131,0.000105131
121,10,KP In-degree,1,0.2,78.96575342,75.97260274,80.78082192,Network,146,5160,5306,0.014882351,0.014318244,0.015224429
122,10,KP In-degree,1,0.4,87.37534247,86.69863014,87.91780822,Network,146,5160,5306,0.016467271,0.016339734,0.016569508
123,10,KP In-degree,1,0.6,88.98219178,88.57534247,89.2739726,Network,146,5160,5306,0.016770108,0.016693431,0.016825098
124,10,KP In-degree,1,0.8,89.38561644,89.16438356,89.61643836,Network,146,5160,5306,0.01684614,0.016804445,0.016889642
125,10,KP In-degree,1,1,89.76712329,89.76712329,89.76712329,Network,146,5160,5306,0.016918041,0.016918041,0.016918041
126,10,KP In-degree,3,0.2,4.97739726,4.506849315,5.246575342,Network,146,5160,5306,0.00093807,0.000849387,0.0009888
127,10,KP In-degree,3,0.4,5.274657534,5.136986301,5.342465753,Network,146,5160,5306,0.000994093,0.000968147,0.001006873
128,10,KP In-degree,3,0.6,5.353424658,5.301369863,5.383561644,Network,146,5160,5306,0.001008938,0.000999127,0.001014618
129,10,KP In-degree,3,0.8,5.370547945,5.342465753,5.383561644,Network,146,5160,5306,0.001012165,0.001006873,0.001014618
130,10,KP In-degree,3,1,5.383561644,5.383561644,5.383561644,Network,146,5160,5306,0.001014618,0.001014618,0.001014618
241,20,KP In-degree,1,0.2,86.30342466,84.64383562,87.90410959,Network,348,5160,5508,0.015668741,0.015367436,0.015959352
242,20,KP In-degree,1,0.4,91.40205479,90.94520548,91.79452055,Network,348,5160,5508,0.016594418,0.016511475,0.016665672
243,20,KP In-degree,1,0.6,92.61643836,92.46575342,92.79452055,Network,348,5160,5508,0.016814894,0.016787537,0.016847226
244,20,KP In-degree,1,0.8,92.8630137,92.78082192,92.94520548,Network,348,5160,5508,0.016859661,0.016844739,0.016874583
245,20,KP In-degree,1,1,93.06849315,93.06849315,93.06849315,Network,348,5160,5508,0.016896967,0.016896967,0.016896967
246,20,KP In-degree,3,0.2,19.96369863,15.63013699,24.63013699,Network,348,5160,5508,0.003624491,0.002837716,0.004471702
247,20,KP In-degree,3,0.4,33.98150685,30.87671233,37.28767123,Network,348,5160,5508,0.006169482,0.005605794,0.00676973
248,20,KP In-degree,3,0.6,40.9390411,38.68493151,42.67123288,Network,348,5160,5508,0.007432651,0.007023408,0.007747137
249,20,KP In-degree,3,0.8,43.39452055,41.69863014,44.56164384,Network,348,5160,5508,0.007878453,0.007570557,0.008090349
250,20,KP In-degree,3,1,45.09589041,45.09589041,45.09589041,Network,348,5160,5508,0.008187344,0.008187344,0.008187344
361,30,KP In-degree,1,0.2,89.08013699,88.15068493,89.73972603,Network,502,5160,5662,0.015732981,0.015568825,0.015849475
362,30,KP In-degree,1,0.4,93.04178082,92.63013699,93.52054795,Network,502,5160,5662,0.016432671,0.016359968,0.016517229
363,30,KP In-degree,1,0.6,94.05479452,93.97260274,94.21917808,Network,502,5160,5662,0.016611585,0.016597069,0.016640618
364,30,KP In-degree,1,0.8,94.36232877,94.28767123,94.45205479,Network,502,5160,5662,0.016665901,0.016652715,0.016681748
365,30,KP In-degree,1,1,94.56164384,94.56164384,94.56164384,Network,502,5160,5662,0.016701103,0.016701103,0.016701103
366,30,KP In-degree,3,0.2,32.7760274,27.97260274,38.35616438,Network,502,5160,5662,0.005788772,0.00494041,0.006774314
367,30,KP In-degree,3,0.4,51.43356164,47.57534247,55.93150685,Network,502,5160,5662,0.009083992,0.008402568,0.009878401
368,30,KP In-degree,3,0.6,58.33972603,54.38356164,61.15068493,Network,502,5160,5662,0.010303731,0.009605009,0.010800192
369,30,KP In-degree,3,0.8,61.81849315,59.84931507,63.04109589,Network,502,5160,5662,0.010918137,0.010570349,0.011134069
